News Name,Unnamed: 0,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,News Name Suffix
www.bloomberg.com,739,739,739,739,739,739,696,696,386,424,739,739,739,739,739,739,739,739,739,739,739,664,664,664,249,664,664,664,739,706,706,706,232,706,706,706,739,739,739,739,739,739
www.nasdaq.com,665,665,665,665,665,665,602,602,382,305,665,665,665,665,665,665,665,665,665,665,665,585,585,585,262,585,585,585,665,646,646,646,263,646,646,646,665,665,665,665,665,665
www.reuters.com,656,656,656,656,656,656,614,614,415,314,656,656,656,656,656,656,656,656,656,656,656,603,603,603,300,603,603,603,656,645,645,645,306,645,645,645,656,656,656,656,656,656
www.tribune242.com,617,617,617,617,617,617,548,548,263,317,617,617,617,617,617,617,617,617,617,617,617,546,546,546,222,546,546,546,617,615,615,615,251,615,615,615,617,617,617,617,617,617
bravenewcoin.com,601,601,601,601,601,601,548,548,282,324,601,601,601,601,601,601,601,601,601,601,601,536,536,536,219,536,536,536,601,588,588,588,221,588,588,588,601,601,601,601,601,601
thenextweb.com,551,551,551,551,551,551,515,515,327,274,551,551,551,551,551,551,551,551,551,551,551,495,495,495,152,495,495,495,551,529,529,529,153,529,529,529,551,551,551,551,551,551
www.msn.com,551,551,551,551,551,551,517,517,344,221,551,551,551,551,551,551,551,551,551,551,551,514,514,514,243,514,514,514,551,548,548,548,244,548,548,548,551,551,551,551,551,551
www.4-traders.com,538,538,538,538,538,538,489,489,251,294,538,538,538,538,538,538,538,538,538,538,538,484,484,484,278,484,484,484,538,533,533,533,275,533,533,533,538,538,538,538,538,538
www.econotimes.com,531,531,531,531,531,531,483,483,274,293,531,531,531,531,531,531,531,531,531,531,531,449,449,449,147,449,449,449,531,493,493,493,143,493,493,493,531,531,531,531,531,531
www.business-standard.com,528,528,528,528,528,528,485,485,242,324,528,528,528,528,528,528,528,528,528,528,528,455,455,455,233,455,455,455,528,497,497,497,261,497,497,497,528,528,528,528,528,528
news.yahoo.com,526,526,526,526,526,526,474,474,309,220,526,526,526,526,526,526,526,526,526,526,526,464,464,464,158,464,464,464,526,516,516,516,156,516,516,516,526,526,526,526,526,526
invezz.com,513,513,513,513,513,513,474,474,261,296,513,513,513,513,513,513,513,513,513,513,513,420,420,420,113,420,420,420,513,456,456,456,117,456,456,456,513,513,513,513,513,513
forextv.com,506,506,506,506,506,506,479,479,286,278,506,506,506,506,506,506,506,506,506,506,506,362,362,362,78,362,362,362,506,382,382,382,74,382,382,382,506,506,506,506,506,506
qz.com,489,489,489,489,489,489,461,461,250,275,489,489,489,489,489,489,489,489,489,489,489,459,459,459,180,459,459,459,489,485,485,485,192,485,485,485,489,489,489,489,489,489
www.crowdfundinsider.com,476,476,476,476,476,476,440,440,272,228,476,476,476,476,476,476,476,476,476,476,476,416,416,416,131,416,416,416,476,451,451,451,114,451,451,451,476,476,476,476,476,476
www.afr.com,466,466,466,466,466,466,421,421,265,209,466,466,466,466,466,466,466,466,466,466,466,417,417,417,185,417,417,417,466,462,462,462,188,462,462,462,466,466,466,466,466,466
www.cityam.com,454,454,454,454,454,454,410,410,293,207,454,454,454,454,454,454,454,454,454,454,454,396,396,396,117,396,396,396,454,439,439,439,136,439,439,439,454,454,454,454,454,454
article.wn.com,451,451,451,451,451,451,391,391,275,192,451,451,451,451,451,451,451,451,451,451,451,379,379,379,200,379,379,379,451,439,439,439,182,439,439,439,451,451,451,451,451,451
www.investing.com,444,444,444,444,444,444,407,407,263,226,444,444,444,444,444,444,444,444,444,444,444,392,392,392,130,392,392,392,444,426,426,426,134,426,426,426,444,444,444,444,444,444
www.altcointoday.com,442,442,442,442,442,442,424,424,286,209,442,442,442,442,442,442,442,442,442,442,442,423,423,423,142,423,423,423,442,441,441,441,147,441,441,441,442,442,442,442,442,442
www.nbcnews.com,439,439,439,439,439,439,383,383,189,282,439,439,439,439,439,439,439,439,439,439,439,370,370,370,164,370,370,370,439,426,426,426,101,426,426,426,439,439,439,439,439,439
www.theguardian.com,437,437,437,437,437,437,408,408,240,237,437,437,437,437,437,437,437,437,437,437,437,404,404,404,191,404,404,404,437,433,433,433,182,433,433,433,437,437,437,437,437,437
menafn.com,429,429,429,429,429,429,384,384,212,219,429,429,429,429,429,429,429,429,429,429,429,365,365,365,139,365,365,365,429,408,408,408,161,408,408,408,429,429,429,429,429,429
www.forexcrunch.com,414,414,414,414,414,414,381,381,218,245,414,414,414,414,414,414,414,414,414,414,414,332,332,332,91,332,332,332,414,358,358,358,99,358,358,358,414,414,414,414,414,414
gulfnews.com,403,403,403,403,403,403,374,374,211,210,403,403,403,403,403,403,403,403,403,403,403,372,372,372,212,372,372,372,403,401,401,401,217,401,401,401,403,403,403,403,403,403
siliconangle.com,399,399,399,399,399,399,368,368,211,209,399,399,399,399,399,399,399,399,399,399,399,361,361,361,101,361,361,361,399,392,392,392,97,392,392,392,399,399,399,399,399,399
