,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1Type1Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,URL Preprocessed,Len,Language,Count
75,419384427,20150323,201503,2015,2015.2274,BRA,BRAZIL,BRA,,1,36,36,3,1,4.0,2,1,2,-3.32480818414322,4,"Luhansk, Luhans'ka Oblast', Ukraine",UP,UP14,25090,48.567,39.3171,-1045160,0,"Luhansk, Luhans'ka Oblast', Ukraine",UP,UP14,25090,48.567,39.3171,-1045160,20150323120000,http://www.ibtimes.co.uk/cryptocurrency-round-bitcoin-flag-everest-ukraine-separatist-crackdown-1493111,cryptocurrency round bitcoin flag everest ukraine separatist crackdown 1493111,78,en,1
76,417895827,20150317,201503,2015,2015.211,BUS,BANK,,BUS,1,120,120,12,3,-4.0,10,1,10,0.6829268292683,4,"Dublin, Dublin, Ireland",EI,EI07,18288,53.3331,-6.24889,-1502554,0,"Dublin, Dublin, Ireland",EI,EI07,18288,53.3331,-6.24889,-1502554,20150317213000,http://siliconangle.com/blog/2015/03/17/its-st-patricks-day-so-lets-chat-about-bitcoin-and-ireland/,its st patricks day so lets chat about bitcoin and ireland,58,en,1
77,474874785,20151010,201510,2015,2015.7671,AFR,AFRICA,AFR,,1,10,10,1,1,0.0,6,1,6,4.30622009569378,4,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,0,"Abuja, Abuja Federal Capital Territory, Nigeria",NI,NI11,191147,9.08333,7.53333,-1997013,20151010173000,http://dailyindependentnig.com/2013/09/stanbic-ibtc-others-partner-on-agric-financing/,stanbic ibtc others partner on agric financing,46,en,1
79,433294912,20150514,201505,2015,2015.3671,BHS,BAHAMA,BHS,,1,20,20,2,1,3.0,10,1,10,-1.03305785123967,1,"Bahamas, The",BF,BF,,24.25,-76.0,BF,1,"Bahamas, The",BF,BF,,24.25,-76.0,BF,20150514170000,http://www.tribune242.com/news/2015/may/14/union-shows-jobs-patience-btcexecutives-trade-unio/,union shows jobs patience btcexecutives trade unio,50,en,1
80,469878479,20150924,201509,2015,2015.7233,ECU,ECUADOR,ECU,,0,172,172,17,4,-5.0,10,1,10,-1.6,1,Ecuador,EC,EC,,-2.0,-77.5,EC,1,Ecuador,EC,EC,,-2.0,-77.5,EC,20150924114500,http://www.newsbtc.com/is-bitcoin-legal/,is bitcoin legal,16,en,1
81,489491441,20151129,201511,2015,2015.9014,BRA,BRAZIL,BRA,,1,43,43,4,1,2.8,1,1,1,-1.21580547112461,1,Portugal,PO,PO,,39.5,-8.0,PO,1,"Sao Tome, SãToméS, Sao Tome And Principe",TP,TP02,18585,0.333333,6.73333,-1312812,20151129131500,http://cointelegraph.com/news/115756/bitcoin-helps-to-fight-domestic-violence,bitcoin helps to fight domestic violence,40,en,1
82,419046412,20150321,201503,2015,2015.2219,KEN,KENYA,KEN,,0,71,71,7,2,7.4,4,1,4,3.51185250219491,1,Kenya,KE,KE,,1.0,38.0,KE,1,Kenya,KE,KE,,1.0,38.0,KE,20150321200000,https://bitcoinmagazine.com/19665/bitgive-foundation-bitcoin-powered-nonprofit-world-good/,bitgive foundation bitcoin powered nonprofit world good,55,en,1
83,466645339,20150914,201509,2015,2015.6959,ESP,SPAIN,ESP,,0,10,10,1,1,0.0,2,1,2,3.23574730354391,1,Spain,SP,SP,,40.0,-4.0,SP,1,Spain,SP,SP,,40.0,-4.0,SP,20150914114500,http://www.techworld.com/picture-gallery/e-commerce/bitcoin-beyond-how-banks-are-investing-in-blockchain-technology-3625324/,bitcoin beyond how banks are investing in blockchain technology 3625324,71,en,1
84,541894284,20160518,201605,2016,2016.3781,SYR,SYRIA,SYR,,1,128,128,12,3,-5.0,1,1,1,-5.0761421319797,1,Syria,SY,SY,,35.0,38.0,SY,1,Syria,SY,SY,,35.0,38.0,SY,20160519123000,http://news.softpedia.com/news/hacker-steals-money-from-bank-sends-it-as-bitcoin-to-anti-isis-syrian-provence-504250.shtml,hacker steals money from bank sends it as bitcoin to anti isis syrian provence 504250.shtml,91,en,1
85,415881620,20150303,201503,2015,2015.1726,THAGOV,THAILAND,THA,GOV,1,13,13,1,1,0.4,2,1,2,1.15830115830116,1,Thailand,TH,TH,,15.0,100.0,TH,1,Thailand,TH,TH,,15.0,100.0,TH,20150310173000,http://www.nationmultimedia.com/business/NBTC-pressed-on-spectrum-auction-30255731.html,NBTC pressed on spectrum auction 30255731 ,42,en,1
86,476138327,20151014,201510,2015,2015.7781,BUS,COMPANY,,BUS,0,20,20,2,1,3.0,10,1,10,1.00480559196156,1,Tunisia,TS,TS,,34.0,9.0,TS,1,Tunisia,TS,TS,,34.0,9.0,TS,20151014231500,http://siliconangle.com/blog/2015/10/14/bitcoin-weekly-2015-october-14-purse-io-breach-and-bitcoin-theft-blockstream-releases-liquid-sidechain-gaming-marketplace-g2a-partners-with-bitpay/,bitcoin weekly 2015 october 14 purse io breach and bitcoin theft blockstream releases liquid sidechain gaming marketplace g2a partners with bitpay,146,en,1
